customer_id,password_id,product_id,cost,product_name,quantity
AaJyUnnHybuOJKsB,JUgKdFwJKS,01836647-937b-4963-8e92-9854006881a1,200,BArNmjw,91
AnaYkQzfDAxENeFN,mHHSJwiGVw,03f20472-935b-4b10-a34e-ea4aa64ed7b8,200,rKZhwix,30
BRyHSIdCzbGsldUC,lMQxnVWMmI,08f6ede4-c748-4ff1-86cd-1f0b1dfd38d3,200,TlvzpII,70
BUqgETInpYnPcWSm,WjfUEUFtdl,09c3e152-b16f-42fe-b2e0-70896e05da48,200,nDOnPna,51
BySkBuRBMkpYHTPZ,tvMyBdWeci,0a5723bb-dcc4-411c-ad7c-02f6fd344cc8,200,nJRlfWA,59
ClRsJZKXjqjBImqb,BEXAkRVxtp,0ac8bab7-924c-430e-9711-3823514d1ccb,200,MYAgoEV,62
CvgsNFJXALPnoeOI,QkIeAmfZqH,0ae7a2a2-b0b6-46ad-a075-1efba69c11b1,200,EAiURJn,98
DyHatpXgxdbCGkHD,PiVcukdoVO,0bfffbfb-a051-4807-9de2-68ee6d0491f0,200,zJBVxxH,54
EUxGDMyGREOBAWPe,ikeqVxXGhd,10ac85b0-e133-4661-898a-37f263ebb73d,200,ykaHHYS,81
FdZAtjwsVyRMGQMp,eodbEMcROs,1a621a04-c84c-42e2-845c-55f71be15cf7,200,zjfgMVP,56
FuCcBSNAucXgTdeq,krmVqFCoJL,1de0b62d-9615-4dcc-be80-e7efa4d40372,200,BCvTCBI,54
GQkkFRnDshqNJBhe,wPKvYnncpx,1f86a774-b105-4187-83d1-fa270eb4b171,200,wgkpDYa,44
HVPPPnNtbumEZbvy,XMzSaBbpYm,22bb9b63-d5f4-4fb5-9298-2fa0be3bbcb3,200,vzoEdnV,93
HoIHGihohJBxiwxc,fSYsuiHVNl,236f0b7a-e681-4ced-9d0a-7ab62fc441fd,200,EnPTkaG,66
ImCItbEmBkBafNnI,UpaAfolanO,27552f7f-526f-44cb-86e1-6ba33c3203d1,200,ISXNnXP,46
JvbqWWqLTPRlScfe,MFlzpIrySx,27b24510-a186-4a5d-a747-f4f17dd28e66,200,WsKONPm,73
KqHOMQrKYrAsuVwK,ReLrduTWsj,28ad9566-7353-4f08-b59d-538535d83e0d,200,YORkqjt,88
KryddgJgcZclqXdu,AfYIthlNAN,2acf9ce1-2d41-4b4e-8a68-28230396d887,200,SvnCpwO,61
KwerJoTRJHkhyHcB,tJfbwWNfxQ,2bfecd00-f69c-4d65-a5ee-14114205a16c,84,UpdWZns,52
LQgwyzjlBSqCcbvs,KbGjOoDPct,2d68f680-3a6a-4b14-a44a-d7df017807af,200,DUlXoiu,7
LRkCEylalqQGzkkp,sYMITNaDHe,2f84111a-ec85-473e-9917-85325fdf8418,200,uWvIsAG,58
LiQyvjFULnjaMIJF,XaQSUXudgM,2f9b409b-969a-4172-b64a-7e99f13895cd,200,qGKiHGv,85
LxRjksEJzMXmkCey,sBRFbpRINV,306638f7-8c8b-43bb-a7aa-a10c3218fc1c,200,OMimOVh,7
MUWYTlZYANfAHdxl,COYOjFNqmq,35e9cfd3-6ac7-47f1-b972-d0f8c808cca1,200,zeUPRfl,85
NDSrjuRBAnbTBEYc,vIbZRBQSUt,37e81ca5-cea6-4938-84a6-f4a087abfcf4,200,PJeoyBp,49
